date,self_weight,neighbour_weight
2021-01-04,0.077944756,0.92205524
2021-01-05,0.078675,0.92132497
2021-01-06,0.078081064,0.9219189
2021-01-07,0.0783333,0.9216667
2021-01-08,0.07833897,0.921661
2021-01-11,0.07880209,0.9211979
2021-01-12,0.07792643,0.9220736
2021-01-13,0.07855395,0.921446
2021-01-14,0.077935025,0.92206496
2021-01-15,0.07831484,0.92168516
2021-01-19,0.07925395,0.920746
2021-01-20,0.07967282,0.9203272
2021-01-21,0.07893405,0.9210659
2021-01-22,0.08132287,0.91867715
2021-01-25,0.07817569,0.92182434
2021-01-26,0.080062315,0.9199377
2021-01-27,0.07867103,0.92132896
2021-01-28,0.07794093,0.92205906
2021-01-29,0.077223904,0.9227761
2021-02-01,0.07627805,0.92372197
2021-02-02,0.084375076,0.9156249
2021-02-03,0.07786112,0.92213887
2021-02-04,0.08859586,0.91140413
2021-02-05,0.07653103,0.92346895
2021-02-08,0.08139126,0.9186087
2021-02-09,0.08050789,0.9194921
2021-02-10,0.08582056,0.91417944
2021-02-11,0.08274048,0.9172595
2021-02-12,0.08721065,0.91278934
2021-02-16,0.07848336,0.92151666
2021-02-17,0.07835938,0.92164063
2021-02-18,0.086797856,0.91320217
2021-02-19,0.08496808,0.9150319
2021-02-22,0.07929144,0.92070854
2021-02-23,0.07884578,0.9211542
2021-02-24,0.08963134,0.9103687
2021-02-25,0.07607263,0.92392737
2021-02-26,0.08151912,0.9184809
2021-03-01,0.08216967,0.91783035
2021-03-02,0.079050116,0.9209499
2021-03-03,0.07760216,0.92239785
2021-03-04,0.07662603,0.92337394
2021-03-05,0.077648,0.922352
2021-03-08,0.08157528,0.9184247
2021-03-09,0.07936337,0.92063665
2021-03-10,0.07643404,0.923566
2021-03-11,0.07785857,0.92214143
2021-03-12,0.08576542,0.9142346
2021-03-15,0.07978212,0.9202179
2021-03-16,0.077349775,0.9226502
2021-03-17,0.07475172,0.92524827
2021-03-18,0.081802815,0.91819715
2021-03-19,0.07871423,0.92128575
2021-03-22,0.08521942,0.91478056
2021-03-23,0.08601788,0.91398215
2021-03-24,0.08454976,0.9154502
2021-03-25,0.08185316,0.91814685
2021-03-26,0.07806748,0.9219325
2021-03-29,0.081257775,0.91874224
2021-03-30,0.08906382,0.9109362
2021-03-31,0.0793935,0.9206065
2021-04-01,0.09008019,0.9099198
2021-04-05,0.08933306,0.91066694
2021-04-06,0.08581895,0.91418105
2021-04-07,0.084648676,0.91535133
2021-04-08,0.08612503,0.913875
2021-04-09,0.09578739,0.9042126
2021-04-12,0.08424537,0.9157546
2021-04-13,0.08973642,0.9102636
2021-04-14,0.10323438,0.8967656
2021-04-15,0.08773427,0.9122657
2021-04-16,0.07857128,0.92142874
2021-04-19,0.08489098,0.91510904
2021-04-20,0.09115681,0.90884316
2021-04-21,0.078730285,0.9212697
2021-04-22,0.07696821,0.9230318
2021-04-23,0.09134179,0.9086582
2021-04-26,0.099189594,0.9008104
2021-04-27,0.097686484,0.90231353
2021-04-28,0.08009399,0.919906
2021-04-29,0.090563975,0.90943605
2021-04-30,0.08556577,0.91443425
2021-05-03,0.0835885,0.9164115
2021-05-04,0.104863584,0.8951364
2021-05-05,0.09107642,0.90892357
2021-05-06,0.08620306,0.91379696
2021-05-07,0.08606591,0.9139341
2021-05-10,0.091273814,0.9087262
2021-05-11,0.08586277,0.91413724
2021-05-12,0.08929703,0.91070294
2021-05-13,0.09032213,0.90967786
2021-05-14,0.08294317,0.9170568
2021-05-17,0.086019784,0.91398025
2021-05-18,0.08128996,0.91871005
2021-05-19,0.07948332,0.92051667
2021-05-20,0.08662473,0.91337526
2021-05-21,0.081892624,0.9181074
2021-05-24,0.07949316,0.92050683
2021-05-25,0.07922313,0.92077684
2021-05-26,0.08270913,0.91729087
2021-05-27,0.08654425,0.9134557
2021-05-28,0.091401294,0.9085987
2021-06-01,0.08525059,0.9147494
2021-06-02,0.09760697,0.90239304
2021-06-03,0.09777253,0.90222746
2021-06-04,0.088394776,0.91160524
2021-06-07,0.08362939,0.91637063
2021-06-08,0.08755348,0.9124465
2021-06-09,0.07956151,0.92043847
2021-06-10,0.08415147,0.91584855
2021-06-11,0.082981065,0.91701895
2021-06-14,0.086310685,0.9136893
2021-06-15,0.08618301,0.913817
2021-06-16,0.08464688,0.9153531
2021-06-17,0.086161405,0.9138386
2021-06-18,0.08308606,0.9169139
2021-06-21,0.07984386,0.9201561
2021-06-22,0.08519704,0.91480297
2021-06-23,0.08480506,0.9151949
2021-06-24,0.090182856,0.90981716
2021-06-25,0.086993486,0.91300654
2021-06-28,0.07660622,0.9233938
2021-06-29,0.08364387,0.91635615
2021-06-30,0.085619815,0.9143802
2021-07-01,0.08382579,0.91617423
2021-07-02,0.08721165,0.91278833
2021-07-06,0.08225704,0.91774297
2021-07-07,0.08579722,0.9142028
2021-07-08,0.09043268,0.9095673
2021-07-09,0.08142379,0.91857624
2021-07-12,0.07707136,0.92292863
2021-07-13,0.09556525,0.90443474
2021-07-14,0.079693526,0.92030644
2021-07-15,0.076853015,0.92314696
2021-07-16,0.08506757,0.9149324
2021-07-19,0.077588946,0.9224111
2021-07-20,0.079519756,0.92048025
2021-07-21,0.09475365,0.9052464
2021-07-22,0.077352375,0.9226476
2021-07-23,0.082141064,0.91785896
2021-07-26,0.09108407,0.90891594
2021-07-27,0.08500389,0.9149961
2021-07-28,0.08569455,0.91430545
2021-07-29,0.08520899,0.914791
2021-07-30,0.087080106,0.9129199
2021-08-02,0.0915853,0.9084147
2021-08-03,0.09504922,0.9049508
2021-08-04,0.087337345,0.9126626
2021-08-05,0.08481008,0.9151899
2021-08-06,0.08695661,0.9130434
2021-08-09,0.08013348,0.9198665
2021-08-10,0.088012256,0.9119877
2021-08-11,0.08749788,0.9125021
2021-08-12,0.08514374,0.91485626
2021-08-13,0.08648637,0.91351366
2021-08-16,0.082631454,0.91736853
2021-08-17,0.08137189,0.9186281
2021-08-18,0.0777964,0.9222036
2021-08-19,0.08715016,0.91284984
2021-08-20,0.08383764,0.9161624
2021-08-23,0.09192333,0.90807664
2021-08-24,0.088452674,0.9115473
2021-08-25,0.086577155,0.9134228
2021-08-26,0.086727485,0.9132725
2021-08-27,0.08367033,0.9163297
2021-08-30,0.084632985,0.915367
2021-08-31,0.077291764,0.9227082
2021-09-01,0.07820244,0.9217976
2021-09-02,0.08963834,0.91036165
2021-09-03,0.08950549,0.9104945
2021-09-07,0.08873936,0.91126066
2021-09-08,0.08361936,0.91638064
2021-09-09,0.08832012,0.91167986
2021-09-10,0.07840716,0.92159283
2021-09-13,0.08025204,0.91974795
2021-09-14,0.08936476,0.91063523
2021-09-15,0.0800863,0.9199137
2021-09-16,0.07393285,0.9260672
2021-09-17,0.08009984,0.9199002
2021-09-20,0.076522835,0.9234772
2021-09-21,0.078260966,0.92173904
2021-09-22,0.0839216,0.9160784
2021-09-23,0.07808322,0.9219168
2021-09-24,0.08696063,0.9130394
2021-09-27,0.07187076,0.92812926
2021-09-28,0.07757283,0.9224272
2021-09-29,0.0870184,0.9129816
2021-09-30,0.085813664,0.91418636
2021-10-01,0.08199483,0.91800517
2021-10-04,0.08524395,0.91475606
2021-10-05,0.08588236,0.91411763
2021-10-06,0.08825964,0.91174036
2021-10-07,0.08381012,0.9161899
2021-10-08,0.07705536,0.92294466
2021-10-11,0.08002234,0.91997766
2021-10-12,0.08402171,0.9159783
2021-10-13,0.088508405,0.9114916
2021-10-14,0.088709086,0.9112909
2021-10-15,0.092341006,0.907659
2021-10-18,0.089426756,0.91057324
2021-10-19,0.08554099,0.914459
2021-10-20,0.09234578,0.9076542
2021-10-21,0.08396012,0.9160399
2021-10-22,0.092303164,0.90769684
2021-10-25,0.08567524,0.91432476
2021-10-26,0.086547025,0.913453
2021-10-27,0.08661538,0.9133846
2021-10-28,0.08012642,0.9198736
2021-10-29,0.08376623,0.9162338
2021-11-01,0.087881625,0.9121184
2021-11-02,0.082000144,0.91799986
2021-11-03,0.08128682,0.9187132
2021-11-04,0.0862941,0.9137059
2021-11-05,0.09783846,0.90216154
2021-11-08,0.087491274,0.9125087
2021-11-09,0.08833923,0.9116608
2021-11-10,0.08599103,0.914009
2021-11-11,0.0816461,0.9183539
2021-11-12,0.082653865,0.9173461
2021-11-15,0.08853827,0.9114617
2021-11-16,0.08433438,0.9156656
2021-11-17,0.08595466,0.91404533
2021-11-18,0.08050141,0.91949856
2021-11-19,0.07624027,0.9237597
2021-11-22,0.077113524,0.9228865
2021-11-23,0.08166604,0.91833395
2021-11-24,0.079406075,0.9205939
2021-11-26,0.08134958,0.9186504
2021-11-29,0.07790429,0.9220957
2021-11-30,0.07842673,0.9215733
2021-12-01,0.07739057,0.92260945
2021-12-02,0.07774669,0.9222533
2021-12-03,0.07881877,0.9211812
2021-12-06,0.07874286,0.92125714
2021-12-07,0.08507283,0.9149272
2021-12-08,0.08251204,0.917488
2021-12-09,0.08331189,0.9166881
2021-12-10,0.07749568,0.9225043
2021-12-13,0.08092412,0.91907585
2021-12-14,0.08487449,0.9151255
2021-12-15,0.08346486,0.91653514
2021-12-16,0.0793488,0.9206512
2021-12-17,0.08432187,0.91567814
2021-12-20,0.087243244,0.91275674
2021-12-21,0.08317652,0.9168235
2021-12-22,0.08317503,0.91682494
2021-12-23,0.08236602,0.917634
2021-12-27,0.08966844,0.91033155
2021-12-28,0.0817527,0.9182473
2021-12-29,0.07645113,0.9235489
2021-12-30,0.079463966,0.92053604
2021-12-31,0.08108343,0.9189166
2022-01-03,0.09456077,0.90543926
2022-01-04,0.083642304,0.9163577
2022-01-05,0.08161474,0.91838527
2022-01-06,0.080767974,0.919232
2022-01-07,0.08460161,0.91539836
2022-01-10,0.084291495,0.9157085
2022-01-11,0.08115077,0.91884923
2022-01-12,0.082039155,0.9179608
2022-01-13,0.0838292,0.9161708
2022-01-14,0.09648459,0.9035154
2022-01-18,0.082526244,0.91747373
2022-01-19,0.085678786,0.9143212
2022-01-20,0.08472764,0.91527236
2022-01-21,0.085159644,0.91484034
2022-01-24,0.07976857,0.92023146
2022-01-25,0.08108814,0.9189119
2022-01-26,0.09365529,0.9063447
2022-01-27,0.08572923,0.91427076
2022-01-28,0.088091224,0.91190875
2022-01-31,0.08723658,0.9127634
2022-02-01,0.08691414,0.9130859
2022-02-02,0.08522466,0.9147754
2022-02-03,0.09465539,0.9053446
2022-02-04,0.08911211,0.9108879
2022-02-07,0.08700736,0.91299266
2022-02-08,0.08164722,0.9183528
2022-02-09,0.08043412,0.91956586
2022-02-10,0.08272426,0.9172757
2022-02-11,0.08241542,0.9175846
2022-02-14,0.085282154,0.91471785
2022-02-15,0.08754193,0.91245806
2022-02-16,0.08461251,0.9153875
2022-02-17,0.08404625,0.91595376
2022-02-18,0.08096372,0.91903627
2022-02-22,0.07919254,0.9208075
2022-02-23,0.08237256,0.91762745
2022-02-24,0.080031745,0.91996825
2022-02-25,0.08076805,0.91923195
2022-02-28,0.0861152,0.9138848
2022-03-01,0.08366004,0.91634
2022-03-02,0.08474514,0.91525483
2022-03-03,0.07907992,0.9209201
2022-03-04,0.085445,0.914555
2022-03-07,0.08188487,0.91811514
2022-03-08,0.08609592,0.9139041
2022-03-09,0.11413816,0.8858618
2022-03-10,0.086316146,0.91368383
2022-03-11,0.088032104,0.9119679
2022-03-14,0.09189406,0.90810597
2022-03-15,0.07940016,0.9205998
2022-03-16,0.084528506,0.9154715
2022-03-17,0.08590504,0.914095
2022-03-18,0.09391617,0.9060838
2022-03-21,0.08062438,0.9193756
2022-03-22,0.08951833,0.9104817
2022-03-23,0.07778777,0.92221224
2022-03-24,0.087904006,0.912096
2022-03-25,0.08135733,0.91864264
2022-03-28,0.08889094,0.9111091
2022-03-29,0.08363071,0.9163693
2022-03-30,0.08395631,0.9160437
2022-03-31,0.08945922,0.91054076
2022-04-01,0.07752047,0.9224795
2022-04-04,0.077238,0.922762
2022-04-05,0.08225558,0.9177444
2022-04-06,0.08845564,0.9115444
2022-04-07,0.08302763,0.9169724
2022-04-08,0.085165404,0.9148346
2022-04-11,0.08375767,0.91624236
2022-04-12,0.0826743,0.9173257
2022-04-13,0.07763057,0.9223694
2022-04-14,0.08381843,0.91618156
2022-04-18,0.08348292,0.9165171
2022-04-19,0.08813091,0.9118691
2022-04-20,0.08441849,0.9155815
2022-04-21,0.07631036,0.92368966
2022-04-22,0.07719809,0.9228019
2022-04-25,0.08387031,0.9161297
2022-04-26,0.07784864,0.9221513
2022-04-27,0.0806569,0.9193431
2022-04-28,0.08776076,0.91223925
2022-04-29,0.07615266,0.9238473
2022-05-02,0.07861744,0.92138255
2022-05-03,0.08187764,0.91812235
2022-05-04,0.082295656,0.91770434
2022-05-05,0.09061256,0.90938747
2022-05-06,0.08561859,0.9143814
2022-05-09,0.08059284,0.9194071
2022-05-10,0.08143565,0.9185643
2022-05-11,0.09588924,0.9041108
2022-05-12,0.091024294,0.9089757
2022-05-13,0.08519234,0.9148077
2022-05-16,0.0770542,0.9229458
2022-05-17,0.08062801,0.91937196
2022-05-18,0.08151753,0.9184825
2022-05-19,0.079064466,0.9209355
2022-05-20,0.08733198,0.912668
2022-05-23,0.08801746,0.91198254
2022-05-24,0.080369815,0.91963017
2022-05-25,0.09297915,0.90702087
2022-05-26,0.08451359,0.9154864
2022-05-27,0.08942536,0.9105746
2022-05-31,0.08659827,0.9134017
2022-06-01,0.083810866,0.91618913
2022-06-02,0.08292103,0.917079
2022-06-03,0.0864529,0.9135471
2022-06-06,0.08426441,0.9157356
2022-06-07,0.09044313,0.90955687
2022-06-08,0.08193098,0.918069
2022-06-09,0.08339845,0.91660154
2022-06-10,0.07444649,0.9255535
2022-06-13,0.084452845,0.91554713
2022-06-14,0.08671417,0.91328585
2022-06-15,0.088385284,0.9116147
2022-06-16,0.086996615,0.9130034
2022-06-17,0.08031978,0.91968024
2022-06-21,0.085214995,0.914785
2022-06-22,0.08006977,0.9199302
2022-06-23,0.08412071,0.9158793
2022-06-24,0.079516016,0.920484
2022-06-27,0.086301416,0.91369855
2022-06-28,0.08686145,0.91313857
2022-06-29,0.089051664,0.91094834
2022-06-30,0.09017479,0.9098252
2022-07-01,0.092899606,0.9071004
2022-07-05,0.08790714,0.91209286
2022-07-06,0.07896705,0.92103297
2022-07-07,0.07957827,0.9204217
2022-07-08,0.089351624,0.91064835
2022-07-11,0.09184745,0.9081526
2022-07-12,0.085266694,0.9147333
2022-07-13,0.07919231,0.9208077
2022-07-14,0.09408703,0.905913
2022-07-15,0.09971036,0.90028965
2022-07-18,0.09937838,0.90062165
2022-07-19,0.084866524,0.9151335
2022-07-20,0.09607239,0.9039276
2022-07-21,0.09455496,0.90544504
2022-07-22,0.08734077,0.9126592
2022-07-25,0.082534164,0.9174658
2022-07-26,0.08637944,0.9136206
2022-07-27,0.089520276,0.9104797
2022-07-28,0.07843441,0.9215656
2022-07-29,0.08309208,0.9169079
2022-08-01,0.088989645,0.9110104
2022-08-02,0.09171761,0.9082824
2022-08-03,0.08184345,0.91815656
2022-08-04,0.09219337,0.90780663
2022-08-05,0.08016678,0.91983324
2022-08-08,0.083021596,0.9169784
2022-08-09,0.08398202,0.916018
2022-08-10,0.09051719,0.90948284
2022-08-11,0.08236552,0.9176345
2022-08-12,0.087128595,0.9128714
2022-08-15,0.085475095,0.9145249
2022-08-16,0.08299651,0.9170035
2022-08-17,0.08621894,0.91378105
2022-08-18,0.08297529,0.91702473
2022-08-19,0.100265734,0.89973426
2022-08-22,0.084164836,0.91583514
2022-08-23,0.08941861,0.9105814
2022-08-24,0.09037218,0.9096278
2022-08-25,0.08518288,0.9148171
2022-08-26,0.096427076,0.9035729
2022-08-29,0.087085456,0.9129145
2022-08-30,0.08229662,0.9177034
2022-08-31,0.08443022,0.9155698
2022-09-01,0.08107292,0.9189271
2022-09-02,0.08639992,0.9136001
2022-09-06,0.09079183,0.9092082
2022-09-07,0.087773666,0.9122263
2022-09-08,0.082632944,0.91736704
2022-09-09,0.078989476,0.9210105
2022-09-12,0.08503995,0.91496
2022-09-13,0.07869832,0.92130166
2022-09-14,0.0801052,0.9198948
2022-09-15,0.0832728,0.9167272
2022-09-16,0.086629555,0.91337043
2022-09-19,0.08254073,0.91745925
2022-09-20,0.08104884,0.91895115
2022-09-21,0.09220467,0.9077953
2022-09-22,0.08452745,0.91547257
2022-09-23,0.082145214,0.9178548
2022-09-26,0.09103346,0.90896654
2022-09-27,0.09184368,0.90815634
2022-09-28,0.08093412,0.9190659
2022-09-29,0.084866144,0.91513383
2022-09-30,0.088154174,0.9118458
2022-10-03,0.08269451,0.91730547
2022-10-04,0.08051981,0.9194802
2022-10-05,0.09310291,0.90689707
2022-10-06,0.08348639,0.9165136
2022-10-07,0.08991597,0.910084
2022-10-10,0.07741191,0.9225881
2022-10-11,0.079135396,0.9208646
2022-10-12,0.07858332,0.9214167
2022-10-13,0.07972886,0.92027116
2022-10-14,0.089013666,0.9109863
2022-10-17,0.07931164,0.9206884
2022-10-18,0.10354492,0.89645505
2022-10-19,0.10242967,0.8975703
2022-10-20,0.08855013,0.91144985
2022-10-21,0.090229884,0.90977013
2022-10-24,0.074525334,0.92547464
2022-10-25,0.0946288,0.9053712
2022-10-26,0.09131369,0.9086863
2022-10-27,0.08655326,0.9134467
2022-10-28,0.08658432,0.9134157
2022-10-31,0.08173114,0.91826886
2022-11-01,0.087781504,0.9122185
2022-11-02,0.08151252,0.9184875
2022-11-03,0.08491162,0.91508836
2022-11-04,0.07838309,0.9216169
2022-11-07,0.08902648,0.91097355
2022-11-08,0.08211412,0.9178859
2022-11-09,0.08403951,0.9159605
2022-11-10,0.09309715,0.90690285
2022-11-11,0.08852987,0.9114701
2022-11-14,0.089008644,0.9109914
2022-11-15,0.093155734,0.90684426
2022-11-16,0.0807095,0.9192905
2022-11-17,0.08442343,0.9155766
2022-11-18,0.08784372,0.9121563
2022-11-21,0.082428604,0.9175714
2022-11-22,0.08385518,0.91614485
2022-11-23,0.085817605,0.9141824
2022-11-25,0.08294065,0.91705936
2022-11-28,0.08004609,0.91995394
2022-11-29,0.08237128,0.9176287
2022-11-30,0.08211546,0.9178845
2022-12-01,0.08129256,0.91870743
2022-12-02,0.082822144,0.91717786
2022-12-05,0.08257934,0.9174207
2022-12-06,0.08262525,0.91737473
2022-12-07,0.08142804,0.91857195
2022-12-08,0.07918539,0.92081463
2022-12-09,0.08517745,0.9148226
2022-12-12,0.07920215,0.9207978
2022-12-13,0.09008125,0.9099187
2022-12-14,0.08134122,0.9186588
2022-12-15,0.089404434,0.91059554
2022-12-16,0.088050015,0.91195
2022-12-19,0.08831325,0.9116868
2022-12-20,0.08884572,0.91115427
2022-12-21,0.08719869,0.9128013
2022-12-22,0.09017145,0.90982854
2022-12-23,0.08425723,0.91574275
2022-12-27,0.08171086,0.9182891
2022-12-28,0.083289035,0.916711
2022-12-29,0.076627746,0.92337227
2022-12-30,0.11072132,0.88927865
2023-01-03,0.07641389,0.92358613
2023-01-04,0.086894386,0.9131056
2023-01-05,0.084497124,0.9155029
2023-01-06,0.084454864,0.9155451
2023-01-09,0.08469278,0.9153072
2023-01-10,0.08095588,0.91904414
2023-01-11,0.08539394,0.91460603
2023-01-12,0.08856628,0.9114337
2023-01-13,0.07873126,0.92126876
2023-01-17,0.08897798,0.911022
2023-01-18,0.08137216,0.91862786
2023-01-19,0.08349697,0.916503
2023-01-20,0.07972533,0.9202747
2023-01-23,0.08216886,0.9178311
2023-01-24,0.078755915,0.9212441
2023-01-25,0.08214924,0.91785073
2023-01-26,0.0875858,0.9124142
2023-01-27,0.08633945,0.9136605
2023-01-30,0.08746354,0.91253644
2023-01-31,0.08652758,0.9134724
2023-02-01,0.08464373,0.9153563
2023-02-02,0.07769352,0.9223065
2023-02-03,0.084087506,0.9159125
2023-02-06,0.070160046,0.92983997
2023-02-07,0.08716242,0.91283756
2023-02-08,0.07188158,0.9281184
2023-02-09,0.07402993,0.9259701
2023-02-10,0.073902294,0.9260977
2023-02-13,0.079634994,0.920365
2023-02-14,0.08509468,0.9149053
2023-02-15,0.07914888,0.9208511
2023-02-16,0.08665348,0.9133465
2023-02-17,0.08145505,0.91854495
2023-02-21,0.086842835,0.91315717
2023-02-22,0.077762954,0.92223704
2023-02-23,0.084783,0.915217
2023-02-24,0.083941005,0.916059
2023-02-27,0.09229891,0.9077011
2023-02-28,0.09143924,0.90856075
2023-03-01,0.081420034,0.91857994
2023-03-02,0.07922322,0.9207768
2023-03-03,0.081485435,0.91851455
2023-03-06,0.08955641,0.9104436
2023-03-07,0.0806943,0.9193057
2023-03-08,0.081234016,0.91876596
2023-03-09,0.07867188,0.9213281
2023-03-10,0.07962785,0.9203721
2023-03-13,0.08299228,0.91700774
2023-03-14,0.08215559,0.9178444
2023-03-15,0.0773908,0.9226092
2023-03-16,0.08068034,0.9193196
2023-03-17,0.083010234,0.91698974
2023-03-20,0.08236326,0.91763675
2023-03-21,0.08083111,0.9191689
2023-03-22,0.08568529,0.9143147
2023-03-23,0.083821274,0.9161787
2023-03-24,0.079530425,0.9204696
2023-03-27,0.079821385,0.9201786
2023-03-28,0.082538776,0.9174612
2023-03-29,0.08137122,0.9186288
2023-03-30,0.08035213,0.9196479
2023-03-31,0.08565869,0.91434133
2023-04-03,0.081832446,0.91816753
2023-04-04,0.0895118,0.9104882
2023-04-05,0.087756135,0.91224384
2023-04-06,0.08534415,0.91465586
2023-04-10,0.07853982,0.92146015
2023-04-11,0.09668552,0.9033145
2023-04-12,0.0892175,0.9107825
2023-04-13,0.07931364,0.92068636
2023-04-14,0.08250922,0.9174908
2023-04-17,0.08897699,0.911023
2023-04-18,0.07948668,0.92051333
2023-04-19,0.07607321,0.9239268
2023-04-20,0.092520006,0.90748
2023-04-21,0.09294316,0.9070568
2023-04-24,0.08765278,0.9123472
2023-04-25,0.0776694,0.9223306
2023-04-26,0.08707643,0.9129236
2023-04-27,0.07958576,0.9204142
2023-04-28,0.07960101,0.920399
2023-05-01,0.084565125,0.9154349
2023-05-02,0.07840994,0.9215901
2023-05-03,0.08332286,0.9166771
2023-05-04,0.07684523,0.9231548
2023-05-05,0.088174604,0.9118254
2023-05-08,0.08103035,0.91896963
2023-05-09,0.09519467,0.9048053
2023-05-10,0.07613268,0.92386734
2023-05-11,0.08606117,0.9139388
2023-05-12,0.078936696,0.9210633
2023-05-15,0.0846339,0.9153661
2023-05-16,0.08718238,0.9128176
2023-05-17,0.09925108,0.9007489
2023-05-18,0.08910708,0.9108929
2023-05-19,0.09362647,0.9063735
2023-05-22,0.083033435,0.91696656
2023-05-23,0.08751004,0.91248995
2023-05-24,0.08344692,0.9165531
2023-05-25,0.081566885,0.9184331
2023-05-26,0.08536759,0.91463244
2023-05-30,0.083606035,0.916394
2023-05-31,0.0881174,0.9118826
2023-06-01,0.08229752,0.9177025
2023-06-02,0.08297329,0.9170267
2023-06-05,0.08042001,0.91958
2023-06-06,0.0810035,0.9189965
2023-06-07,0.07749362,0.9225064
2023-06-08,0.08415635,0.91584367
2023-06-09,0.08215887,0.91784114
2023-06-12,0.07861419,0.9213858
2023-06-13,0.08343907,0.91656095
2023-06-14,0.08717919,0.9128208
2023-06-15,0.076791145,0.92320883
2023-06-16,0.08741622,0.91258377
2023-06-20,0.08249473,0.91750526
2023-06-21,0.088953525,0.9110465
2023-06-22,0.08092294,0.91907704
2023-06-23,0.083134644,0.91686535
2023-06-26,0.0835782,0.9164218
2023-06-27,0.079803,0.920197
2023-06-28,0.08285169,0.9171483
2023-06-29,0.07993701,0.920063
2023-06-30,0.08340682,0.9165932
2023-07-03,0.08180909,0.9181909
2023-07-05,0.07745512,0.9225449
2023-07-06,0.07988747,0.92011255
2023-07-07,0.08683897,0.91316104
2023-07-10,0.08908895,0.9109111
2023-07-11,0.080749996,0.91925
2023-07-12,0.08406571,0.91593426
2023-07-13,0.08062578,0.9193742
2023-07-14,0.073997095,0.9260029
2023-07-17,0.08785381,0.9121462
2023-07-18,0.08327937,0.9167206
2023-07-19,0.09005272,0.9099473
2023-07-20,0.08937304,0.91062695
2023-07-21,0.08331618,0.9166838
2023-07-24,0.082374856,0.9176251
2023-07-25,0.09149948,0.90850055
2023-07-26,0.09881666,0.90118337
2023-07-27,0.08436144,0.91563857
2023-07-28,0.09189572,0.9081043
2023-07-31,0.0900602,0.9099398
2023-08-01,0.0839809,0.9160191
2023-08-02,0.07924694,0.92075306
2023-08-03,0.099518135,0.9004819
2023-08-04,0.10930916,0.89069086
2023-08-07,0.09194622,0.90805376
2023-08-08,0.09541282,0.90458715
2023-08-09,0.09152102,0.908479
2023-08-10,0.0905399,0.90946007
2023-08-11,0.07687406,0.9231259
2023-08-14,0.08557274,0.9144273
2023-08-15,0.084798925,0.91520107
2023-08-16,0.085574016,0.91442597
2023-08-17,0.091571264,0.9084287
2023-08-18,0.09009954,0.9099004
2023-08-21,0.10449392,0.8955061
2023-08-22,0.10501851,0.8949815
2023-08-23,0.09317217,0.9068278
2023-08-24,0.08608473,0.9139153
2023-08-25,0.0960766,0.9039234
2023-08-28,0.08639315,0.9136069
2023-08-29,0.08652778,0.91347224
2023-08-30,0.08608675,0.91391325
2023-08-31,0.08988119,0.9101188
2023-09-01,0.081638984,0.918361
2023-09-05,0.08683142,0.91316855
2023-09-06,0.08299844,0.91700155
2023-09-07,0.08044747,0.9195525
2023-09-08,0.0855161,0.9144839
2023-09-11,0.083768174,0.9162318
2023-09-12,0.09454199,0.90545803
2023-09-13,0.08333015,0.91666985
2023-09-14,0.08370867,0.91629136
2023-09-15,0.08863752,0.91136247
2023-09-18,0.087025404,0.9129746
2023-09-19,0.08703973,0.9129603
